,Episodes,Total Reward,Epsilon,Buffer Size,Learn Step Counter,Moving Average
178,178,600.0,0.9868280182821767,53069,53038,
179,179,637.0,0.9867902728276405,53222,53191,
180,180,236.0,0.9867816384494481,53257,53226,
181,181,870.0,0.9865359603789187,54253,54222,
182,182,249.0,0.986528068121817,54285,54254,
183,183,248.0,0.9865191894080472,54321,54290,
184,184,637.0,0.9864952666047755,54418,54387,
185,185,227.0,0.9864846618363332,54461,54430,
186,186,788.0,0.9864161035261853,54739,54708,
187,187,792.0,0.9863524817313708,54997,54966,
188,188,734.0,0.9863029187582417,55198,55167,
189,189,244.0,0.9862937954972967,55235,55204,
190,190,609.0,0.9862718507017374,55324,55293,
191,191,622.0,0.9862513857705987,55407,55376,
192,192,646.0,0.9862252504518999,55513,55482,
193,193,786.0,0.9861542447812164,55801,55770,
194,194,617.0,0.9861128271675283,55969,55938,
195,195,647.0,0.9859254835051339,56729,56698,
196,196,621.0,0.98590576519018,56809,56778,
197,197,236.0,0.985896399128728,56847,56816,
198,198,243.0,0.9858875260999542,56883,56852,
199,199,1134.0,0.9856147194443281,57990,57959,
200,200,592.0,0.9855738172770783,58156,58125,
201,201,240.0,0.9855656863256085,58189,58158,
202,202,634.0,0.9855247861931914,58355,58324,
203,203,235.0,0.9855164092670626,58389,58358,
204,204,235.0,0.9855072932812977,58426,58395,
205,205,627.0,0.9854796994599481,58538,58507,
206,206,244.0,0.9854703374461012,58576,58545,
207,207,1102.0,0.9851348418755794,59938,59907,
208,208,610.0,0.9850961760870184,60095,60064,
209,209,246.0,0.9850880490760727,60128,60097,
210,210,810.0,0.9850469225034003,60295,60264,
211,211,767.0,0.9849523625259583,60679,60648,
212,212,247.0,0.9849444829375905,60711,60680,
213,213,1267.0,0.9848194029153546,61219,61188,
214,214,943.0,0.9846628290586488,61855,61824,
215,215,592.0,0.9846369819953958,61960,61929,
216,216,236.0,0.9846276279873278,61998,61967,
217,217,1002.0,0.9845446765936663,62335,62304,
218,218,245.0,0.9845368002667734,62367,62336,
219,219,962.0,0.9843989747455002,62927,62896,
220,220,606.0,0.9843721502355672,63036,63005,
221,221,249.0,0.9843640291978109,63069,63038,
222,222,477.0,0.9839969298372706,64561,64530,
223,223,649.0,0.9837571097848679,65536,65505,
224,224,1282.0,0.9836400496393711,66012,65981,
225,225,1210.0,0.9833319726103531,67265,67234,
226,226,238.0,0.9833223851691593,67304,67273,
227,227,690.0,0.9831340969380112,68070,68039,
228,228,774.0,0.9830490595059066,68416,68385,
229,229,650.0,0.9830269411481322,68506,68475,
230,230,810.0,0.9829851633856891,68676,68645,
